"PORT","COUNTRY","ISEU","LOCODE","LAT","LON","PORT_CALL count"
"Eemshaven","NL",1,"NLEEM",53.45,6.83,24
"Jizan","SA",0,"SAGIZ",16.89,42.53,24
"Kavala","GR",1,"GRKVA",40.93,24.4,24
"Kudamatsu","JP",0,"JPKUD",0.52,117.69,24
"Naantali","FI",1,"FINLI",60.22,21.81,24
"Porto Nogaro","IT",1,"ITPNG",45.8,13.23,24
"Puerto Barrios","GT",0,"GTPBR",15.74,-88.61,24
"Vindenes","NO",0,"NOAGO",60.41,5.02,24
"Aberdeen","GB",1,"GBABD",57.14,-2.07,23
"Anacortes","US",0,"USOTS",48.52,-122.61,23
"Crockett","US",0,"USCRM",38.06,-122.22,23
"Fujian Guanhai Shipbuilding","CN",0,"",26.11,119.66,23
"Galati","RO",1,"ROGAL",45.39,28.02,23
"Imabari Shipbuilding","JP",0,"JPIMB",34.06,133.01,23
"Port Sultan Qaboos","OM",0,"OMMCT",23.63,58.57,23
"Werkendam","NL",1,"NLWKD",51.81,4.88,23
"Albany","US",0,"USALB",42.61,-73.76,22
"Birkenhead","GB",1,"GBBRK",53.4,-3.02,22
"Blyth","GB",1,"GBBLY",55.14,-1.51,22
"Cherbourg","FR",1,"FRCER",49.65,-1.61,22
"La Retraite","TT",0,"TTCHA",10.68,-61.64,22
"Marsa El Brega","LY",0,"LYLMQ",30.42,19.6,22
"RAK Maritime City","AE",0,"AERMC",25.94,55.96,22
"San Pedro (ARG)","AR",0,"ARXPD",-33.69,-59.64,22
"Shajiazhuang","CN",0,"CNSJW",37.83,120.74,22
"Bejaia","DZ",0,"DZBJA",36.92,5.08,21
"Cigading","ID",0,"IDCIG",-6.01,105.96,21
"Keppel Subic Shipyard","PH",0,"",14.88,120.22,21
"Macau","MO",0,"MOMFM",23.05,113.8,21
"Marmara Ereglisi","TR",0,"TRMAR",40.96,27.91,21
"Palm Beach","US",0,"USPAB",26.77,-80.05,21
"Ploce","HR",1,"HRPLE",43.04,17.44,21
"Port-la-Nouvelle","FR",1,"FRNOU",43.02,3.06,21
"Puerto Bolivar","EC",0,"ECPBO",-3.24,-80.01,21
"Soedertaelje","SE",1,"SESOE",59.13,17.68,21
"Uenye","TR",0,"TRUNY",41.29,37.11,21
"Vatika Bay","GR",1,"GRVAB",36.48,23.03,21
"Vila das Lajes","PT",1,"PTLAJ",39.38,-31.17,21
"Xinhui","CN",0,"CNXIN",22.3,113.08,21
"Punta Europa","GQ",0,"GQPET",3.79,8.76,20
"Timaru","NZ",0,"NZTIU",-44.39,171.26,20
"Wallhamn","SE",1,"SEWAL",58.01,11.7,20
"Ashtabula","US",0,"USASF",41.91,-80.79,19
"Aviles","ES",1,"ESAVS",43.73,-6.19,19
"Changbai Island","CN",0,"CNCGB",30.16,122.03,19
"Grenaa","DK",1,"DKGRE",56.42,10.93,19
"Isthmia","GR",1,"GRITM",37.92,23.02,19
"Tekirdag","TR",0,"TRTEK",40.93,28.69,19
"Tsukumi","JP",0,"JPTMI",33.08,132.05,19
