"PORT","COUNTRY","ISEU","LOCODE","LAT","LON","PORT_CALL count"
"Ystad","SE",1,"SEYST",55.42428333,13.82312333,3
"Aliveri Bay","GR",1,"",38.25452,24.0919475,2
"Anqing","CN",0,"CNAQG",NA,NA,2
"Avedore","DK",1,"DKVRE",55.59998083,12.48461333,2
"Basel","CH",0,"CHBSL",47.56791,7.6072045,2
"Bay City","US",0,"USBCY",43.62083333,-83.84231667,2
"Bedi Bunder","IN",0,"INBED",22.56501667,69.82909083,2
"Berdiansk","UA",0,"UAERD",NA,NA,2
"Breskens","NL",1,"NLBRS",NA,NA,2
"Broome","AU",0,"AUBME",-18.00228167,122.217925,2
"Castanas","PH",0,"PHCST",NA,NA,2
"Das Island","AE",0,"AEDAS",25.1465,52.891,2
"Den Helder","NL",1,"NLDHR",52.9534,4.7811,2
"Denpasar","ID",0,"IDDPS",NA,NA,2
"Dieppe","FR",1,"FRDPE",49.96455,0.754803333,2
"Dikili","TR",0,"TRDIK",39.06226833,26.8164775,2
"Donghae","KR",0,"KRTGH",45.92273667,136.6431233,2
"Dongtou","CN",0,"",27.855538,121.123944,2
"Dover","GB",1,"GBDVR",NA,NA,2
"Duisburg","DE",1,"DEDUI",51.4455,6.7475,2
"Foshan","CN",0,"CNFOS",22.98414167,113.1326567,2
"Frederikshavn","DK",1,"DKFDH",57.4365,10.542,2
"Gamboa","PA",0,"PAGBA",9.116353333,-79.70426667,2
"Grimsby","GB",1,"GBGSY",NA,NA,2
"Groningen","NL",1,"NLGRQ",53.217904,6.597536,2
"Guayama","PR",0,"PRGMA",17.93718167,-66.158045,2
"Gushikawa","JP",0,"JPGKA",NA,NA,2
"Gwadar","PK",0,"PKGWD",25.11141,62.343035,2
"Hanstholm","DK",1,"DKHAN",57.25477417,8.508858333,2
"Horsens","DK",1,"DKHOR",55.85655,9.86755,2
NA,"GR",1,"GRIGO",NA,NA,2
"Isabel","PH",0,"PHISL",NA,NA,2
"Jingzhou","CN",0,"CNJGZ",29.533185,113.19564,2
"Kolobrzeg","PL",1,"PLKOL",54.182785,15.55687,2
"Kraljevica","HR",1,"HRKRA",NA,NA,2
"Kualatanjung","ID",0,"IDKTJ",NA,NA,2
"Kunda","EE",1,"EEKUN",NA,NA,2
"Lakkion","GR",1,"GRPKK",37.16409083,26.79287333,2
"Lelystad","NL",1,"NLLEY",52.52607,5.44094,2
"Ligang Shipyard","",0,"",NA,NA,2
"Luchaogang Ferry","CN",0,"",30.84043833,121.8185817,2
"Manaus","BR",0,"BRMAO",-2.1245375,-54.27249583,2
"Merak","ID",0,"IDMRK",-5.9446335,105.9917,2
"Mersrags","LV",1,"LVMRX",NA,NA,2
"Norddeich","DE",1,"DENOE",NA,NA,2
"Nykobing Falster","DK",1,"DKNYF",54.76418333,11.86536667,2
"Palamos","ES",1,"ESPAL",41.83946667,3.11685,2
"Point Fortin","TT",0,"TTPTF",10.2005,-61.6965,2
"Port Mellon","CA",0,"CAPML",49.51900833,-123.485305,2
"Preveza","GR",1,"GRPVK",38.95740833,20.757825,2
"Puerto Madryn","AR",0,"ARPMY",NA,NA,2
"SHI Rongcheng Shipyard","",0,"",NA,NA,2
"Sarpsborg","NO",0,"NOSPG",NA,NA,2
"Sharpness","GB",1,"GBSSS",51.72003917,-2.476109167,2
"Shoreham","GB",1,"GBSHO",50.83009167,-0.242333333,2
"Sidon","LB",0,"",33.56732667,35.36654833,2
"Slavyanka","RU",0,"RUSKA",NA,NA,2
"Takuma","JP",0,"JPTKM",NA,NA,2
"Teluk Ewa","MY",0,"",6.447588333,99.73154167,2
"Turku","FI",1,"FITKU",60.42881833,22.19537,2
"Vung Ang","VN",0,"",18.121107,106.405541,2
NA,"SE",1,"SEVVK",NA,NA,2
"Xiajiawan","CN",0,"",23.08659,113.401975,2
"Al Duqm","OM",0,"",19.66433333,57.71543333,1
"Ashtart Terminal","TN",0,"TNASH",NA,NA,1
"Az Zawiyah","LY",0,"LYZAW",NA,NA,1
"Azov","RU",0,"RUAZO",NA,NA,1
"Baitkal Cove","IN",0,"INKRW",NA,NA,1
"Bandar Anzali","IR",0,"IRBAZ",NA,NA,1
"Barletta","IT",1,"ITBLT",41.78595,16.31913333,1
"Basse-Terre (Guadeloupe)","GP",0,"GPBBR",NA,NA,1
"Bautino","KZ",0,"KZBTN",NA,NA,1
"Belawan","ID",0,"IDBLW",1.266875,103.315295,1
"Beypore","IN",0,"INBEY",NA,NA,1
"Borkum","DE",1,"DEBMK",11.85581667,-15.57548333,1
"Boulogne-sur-Mer","FR",1,"FRBOL",50.7466,1.53845,1
"Brugge","BE",1,"BEEGS",51.22986667,3.223016667,1
"Cascais","PT",1,"PTCAS",8.876573333,-79.53657167,1
"Cheboygan","US",0,"USCHG",45.65278333,-84.468,1
"Chemainus","CA",0,"CACHM",NA,NA,1
"Chittagong","BD",0,"BDCGP",NA,NA,1
"Concarneau","FR",1,"FRCOC",NA,NA,1
"Concepcion del Uruguay","AR",0,"ARCOU",NA,NA,1
"Dagenham","GB",1,"GBDAG",NA,NA,1
"Denton (Newhaven)","GB",1,"GBDET",NA,NA,1
"Deseado","AR",0,"ARPUD",-42.73627167,-65.023165,1
"Dombraina Boiotias","GR",1,"GRDMB",NA,NA,1
"Dutch Harbor","US",0,"USDUT",53.8784,-166.55135,1
"Egersund","NO",0,"NOEGE",NA,NA,1
"El Palito","VE",0,"VEELP",10.49752,-68.13652,1
"Erha Offshore Terminal","NG",0,"NGERT",NA,NA,1
"Erlangen","DE",1,"DEERL",NA,NA,1
"Faro","PT",1,"PTFAO",37.00230667,-7.918541667,1
"Fawley","GB",1,"GBFAW",50.83841,-1.32924,1
"Forno","BR",0,"BRFNO",-22.97117833,-42.016115,1
"Fortaleza","BR",0,"BRFOR",-12.95701333,-38.50917,1
"Fuqing Songxia","CN",0,"CNFUG",NA,NA,1
"Giessendam","NL",1,"NLGSM",51.8195,4.8265,1
"Gravesend","GB",1,"GBGVS",51.445,0.38659675,1
"Gunness","GB",1,"GBGUS",53.622085,-0.709135,1
"Haian","CN",0,"CNHAA",NA,NA,1
"Halul Island","QA",0,"QAHAL",NA,NA,1
"Hanoytangen","NO",0,"NOASY",60.44,5.102816667,1
"Hans Weert","NL",1,"NLHAAN",51.39279333,3.712693333,1
"Helsingor","HD",0,"HDKHLS",56.032333,12.631917,1
"Hochdonn","DE",1,"DEHOD",54.0195,9.2945,1
"Hongxing","CN",0,"CNYIU",31.615895,121.39294,1
"Huizhou Oil Terminal","AR",0,"",-45.86429167,-67.44523167,1
"Janghang Seocheon-gun","KR",0,"KRCHG",NA,NA,1
"Jiangmen","CN",0,"CNJMN",NA,NA,1
"Jitou","",0,"",NA,NA,1
"Kalymnos","GR",1,"GRKMI",36.94849167,26.99364833,1
"Kamaishi","JP",0,"JPKIS",39.26466667,141.9091,1
"Kilroot","GB",1,"GBKLT",NA,NA,1
"Koolan Island","AU",0,"AUKOI",NA,NA,1
"La Seyne sur Mer","FR",1,"FRYNE",43.10761667,5.8957,1
"Le Teport","FR",1,"FRLTR",50.062405,1.382253333,1
"Luba","GQ",0,"GQLUB",NA,NA,1
"Lubmin","DE",1,"DELBM",NA,NA,1
"Maceio","BR",0,"BRMC",-9.679848333,-35.72459667,1
"Mahon","ES",1,"ESMAH",39.24438333,3.050951667,1
"Mar del Plata","AR",0,"ARMDQ",-38.0457,-57.535325,1
"Matarani","PE",0,"PEMRI",NA,NA,1
"Mellitah (Qasr Ahmed) Terminal","LY",0,"LYMEL",32.87784,12.24804,1
"Milford Haven","GB",1,"GBMLF",51.70088833,-5.034108333,1
"Millingen","NL",1,"NLMLR",51.868,6.053,1
"Moji","JP",0,"JP MOJ",NA,NA,1
"Naoetsu","JP",0,"JPNAO",NA,NA,1
"New Amsterdam","GY",0,"GYNAM",NA,NA,1
"Nuernberg","DE",1,"DENUE",NA,NA,1
"Olafsvik","IS",0,"ISOLV",NA,NA,1
"Passau","DE",1,"DEPAS",NA,NA,1
"Perafita Offshore Terminal","PT",1,"PTPFT",NA,NA,1
"Peterhead","GB",1,"GBPHD",NA,NA,1
"Plomin","HR",1,"HR PLM",NA,NA,1
"Port Fourchon","US",0,"USFOC",29.29924,-89.36871,1
"Port Reunion","RE",0,"RE",NA,NA,1
"Port-Saint-Louis-du-Rhone","FR",1,"FRPSL",NA,NA,1
NA,"EE",1,"EEPRN",NA,NA,1
"Quy Nhon","VN",0,"VNUIH",NA,NA,1
"Regensburg","DE",1,"DEREG",NA,NA,1
"Rodby","DK",1,"DKAAX",54.37277833,10.17723167,1
"Roomassaare","EE",1,"EERMS",58.19796833,22.50647333,1
"Saint John","CA",0,"CASJB",45.265,-66.054,1
"Saint Tropez","FR",1,"FRSTP",NA,NA,1
"Samudra Shipyard","IN",0,"",9.887545,76.295381,1
"San Antonio Este","AR",0,"ARSAE",NA,NA,1
"San Jose Oil Terminal","GT",0,"GTSNJ",13.89483333,-90.80933333,1
"San Remo","IT",1,"ITSRE",42.86239,6.384328333,1
"Sanshui","CN",0,"CNSJQ",23.06920167,112.9727717,1
"Shunde","CN",0,"CNSUD",21.48574,111.0645167,1
"Snake River","",0,"",NA,NA,1
"Stralsund","DE",1,"DESTL",NA,NA,1
"Taganrog","RU",0,"RUTAG",NA,NA,1
NA,"DE",1,"DETAE",NA,NA,1
"Termini Imerese","IT",1,"ITTRI",37.986995,13.708695,1
"Tofte","NO",0,"NONZH",59.112955,10.581152,1
"Tokachi","JP",0,"JPTOK",NA,NA,1
"Tongling","CN",0,"CNTOL",NA,NA,1
"Tulcea","RO",1,"ROTCE",45.193125,28.805135,1
"Turbo","CO",0,"COTRB",NA,NA,1
"Tyboroen","DK",1,"DKTYB",56.6975,8.219516667,1
"Vadinar Terminal","IN",0,"INVAD",22.50657833,69.761585,1
"Vilanova","ES",1,"ESVLG",NA,NA,1
"West Haven","US",0,"USWHC",NA,NA,1
"Wladyslawowo","PL",1,"PLWLA",NA,NA,1
NA,"DE",1,"DEWUE",NA,NA,1
"Xinxing","CN",0,"CNXNI",22.1325,113.8469317,1
"Yizheng","CN",0,"CNYIZ",32.2509,119.16915,1
