lon,lat,cluster
-178.75,-68.7312290971655,1
-176.25,-68.7312290971655,2
-173.75,-68.7312290971655,3
-171.25,-68.7312290971655,4
-168.75,-68.7312290971655,5
-166.25,-68.7312290971655,6
-163.75,-68.7312290971655,7
-161.25,-68.7312290971655,8
-158.75,-68.7312290971655,9
-156.25,-68.7312290971655,10
-153.75,-68.7312290971655,11
-151.25,-68.7312290971655,12
-148.75,-68.7312290971655,13
-146.25,-68.7312290971655,14
-143.75,-68.7312290971655,15
-141.25,-68.7312290971655,16
-138.75,-68.7312290971655,17
-136.25,-68.7312290971655,18
-133.75,-68.7312290971655,19
-131.25,-68.7312290971655,20
-128.75,-68.7312290971655,21
-126.25,-68.7312290971655,22
-123.75,-68.7312290971655,23
-121.25,-68.7312290971655,24
-118.75,-68.7312290971655,25
-116.25,-68.7312290971655,26
-113.75,-68.7312290971655,27
-111.25,-68.7312290971655,28
-108.75,-68.7312290971655,29
-106.25,-68.7312290971655,30
-103.75,-68.7312290971655,31
-101.25,-68.7312290971655,32
-98.7499999999999,-68.7312290971655,33
-96.2499999999999,-68.7312290971655,34
-93.7499999999999,-68.7312290971655,35
-88.75,-68.7312290971655,36
-86.25,-68.7312290971655,37
-83.7499999999998,-68.7312290971655,38
-81.2499999999999,-68.7312290971655,39
-78.75,-68.7312290971655,40
-58.7499999999999,-68.7312290971655,41
-56.2499999999999,-68.7312290971655,42
-53.75,-68.7312290971655,43
-51.2499999999999,-68.7312290971655,44
-48.7499999999998,-68.7312290971655,45
-46.25,-68.7312290971655,46
-43.75,-68.7312290971655,47
-41.2499999999999,-68.7312290971655,48
-38.7499999999998,-68.7312290971655,49
-36.25,-68.7312290971655,50
-33.75,-68.7312290971655,51
-31.2499999999999,-68.7312290971655,52
-28.7499999999999,-68.7312290971655,53
-26.25,-68.7312290971655,54
-23.7499999999999,-68.7312290971655,55
-21.2499999999999,-68.7312290971655,56
-18.7500000000001,-68.7312290971655,57
-16.2499999999998,-68.7312290971655,58
-13.75,-68.7312290971655,59
-11.25,-68.7312290971655,60
-8.74999999999984,-68.7312290971655,61
-6.24999999999987,-68.7312290971655,62
-3.74999999999993,-68.7312290971655,63
-1.24999999999994,-68.7312290971655,64
1.25000000000004,-68.7312290971655,65
3.75000000000002,-68.7312290971655,66
6.25000000000016,-68.7312290971655,67
8.75000000000013,-68.7312290971655,68
11.2500000000001,-68.7312290971655,69
13.7500000000001,-68.7312290971655,70
18.75,-68.7312290971655,71
21.25,-68.7312290971655,72
23.7500000000001,-68.7312290971655,73
26.2500000000001,-68.7312290971655,74
28.7500000000001,-68.7312290971655,75
166.25,-68.7312290971655,76
168.75,-68.7312290971655,77
171.25,-68.7312290971655,78
173.75,-68.7312290971655,79
176.25,-68.7312290971655,80
178.75,-68.7312290971655,81
-178.75,-66.234365106952,82
-176.25,-66.234365106952,83
-173.75,-66.234365106952,84
-171.25,-66.234365106952,85
-168.75,-66.2343651069521,86
-166.25,-66.2343651069521,87
-163.75,-66.2343651069521,88
-161.25,-66.234365106952,89
-158.75,-66.2343651069521,90
-156.25,-66.234365106952,91
-153.75,-66.2343651069521,92
-151.25,-66.2343651069521,93
-148.75,-66.2343651069521,94
-146.25,-66.2343651069521,95
-143.75,-66.234365106952,96
-141.25,-66.2343651069521,97
-138.75,-66.2343651069521,98
-136.25,-66.2343651069521,99
-133.75,-66.2343651069521,100
-131.25,-66.2343651069521,101
-128.75,-66.2343651069521,102
-126.25,-66.2343651069521,103
-123.75,-66.2343651069521,104
-121.25,-66.2343651069521,105
-118.75,-66.2343651069521,106
-116.25,-66.234365106952,107
-113.75,-66.234365106952,108
-111.25,-66.2343651069521,109
-108.75,-66.2343651069521,110
-106.25,-66.234365106952,111
-103.75,-66.234365106952,112
-101.25,-66.2343651069521,113
-98.7499999999999,-66.234365106952,114
-96.2499999999999,-66.2343651069521,115
-93.7499999999999,-66.234365106952,116
-91.2499999999999,-66.234365106952,117
-88.7499999999999,-66.234365106952,118
-86.25,-66.234365106952,119
-83.7499999999998,-66.234365106952,120
-81.2499999999999,-66.234365106952,121
-78.75,-66.234365106952,122
-76.2499999999999,-66.234365106952,123
-73.7499999999999,-66.2343651069521,124
-71.25,-66.2343651069521,125
-56.2499999999999,-66.2343651069521,126
-53.75,-66.234365106952,127
-51.25,-66.2343651069521,128
-48.7499999999998,-66.2343651069521,129
-46.2500000000001,-66.2343651069521,130
-43.7499999999999,-66.234365106952,131
-41.2499999999999,-66.234365106952,132
-38.7499999999999,-66.2343651069521,133
-36.25,-66.2343651069521,134
-33.7499999999999,-66.2343651069521,135
-31.2499999999999,-66.2343651069521,136
-28.7499999999999,-66.2343651069521,137
-26.2499999999999,-66.234365106952,138
-23.7499999999998,-66.234365106952,139
-21.2500000000001,-66.2343651069521,140
-18.75,-66.2343651069521,141
-16.2499999999998,-66.234365106952,142
-13.75,-66.2343651069521,143
-11.25,-66.2343651069521,144
-8.74999999999986,-66.234365106952,145
-6.24999999999988,-66.2343651069521,146
-3.74999999999992,-66.2343651069521,147
-1.2499999999999,-66.234365106952,148
1.25000000000008,-66.234365106952,149
3.75000000000001,-66.234365106952,150
6.25000000000015,-66.234365106952,151
8.75000000000014,-66.234365106952,152
11.2500000000001,-66.234365106952,153
13.7500000000001,-66.234365106952,154
16.2500000000001,-66.234365106952,155
18.75,-66.2343651069521,156
21.2500000000001,-66.234365106952,157
23.7500000000001,-66.234365106952,158
26.2500000000001,-66.2343651069521,159
28.7500000000001,-66.234365106952,160
31.2500000000002,-66.2343651069521,161
33.75,-66.2343651069521,162
36.2500000000002,-66.234365106952,163
38.7500000000001,-66.2343651069521,164
41.25,-66.2343651069521,165
43.7500000000001,-66.2343651069521,166
66.2500000000001,-66.234365106952,167
68.7499999999999,-66.2343651069521,168
71.25,-66.234365106952,169
73.7500000000002,-66.234365106952,170
76.2500000000001,-66.234365106952,171
78.75,-66.234365106952,172
81.2500000000001,-66.234365106952,173
146.25,-66.2343651069521,174
148.75,-66.2343651069521,175
151.25,-66.2343651069521,176
153.75,-66.2343651069521,177
156.25,-66.2343651069521,178
158.75,-66.2343651069521,179
166.25,-66.234365106952,180
168.75,-66.2343651069521,181
171.25,-66.234365106952,182
173.75,-66.2343651069521,183
176.25,-66.2343651069521,184
178.75,-66.234365106952,185
-178.75,-63.7369725875729,186
-176.25,-63.7369725875729,187
-173.75,-63.7369725875729,188
-171.25,-63.7369725875729,189
-168.75,-63.7369725875729,190
-166.25,-63.7369725875729,191
-163.75,-63.7369725875729,192
-161.25,-63.7369725875729,193
-158.75,-63.7369725875729,194
-156.25,-63.7369725875729,195
-153.75,-63.7369725875729,196
-151.25,-63.7369725875729,197
-148.75,-63.7369725875729,198
-146.25,-63.7369725875729,199
-143.75,-63.7369725875729,200
-141.25,-63.7369725875729,201
-138.75,-63.7369725875729,202
-136.25,-63.7369725875729,203
-133.75,-63.7369725875729,204
-131.25,-63.7369725875729,205
-128.75,-63.7369725875729,206
-126.25,-63.7369725875729,207
-123.75,-63.7369725875729,208
-121.25,-63.7369725875729,209
-118.75,-63.7369725875729,210
-116.25,-63.7369725875729,211
-113.75,-63.7369725875729,212
-111.25,-63.7369725875729,213
-108.75,-63.7369725875729,214
